,location,variable,value,sample_class,sample,Omicron_frac,Omicron_frac_calibrated,batch
277,9,BA.1,1.8590970853763988e-17,MinION,minION_31520,0.0625,0.043840000000000004,batch2
278,9,B.1.617.2,0.9172794287522714,Aviti,aviti_31519,0.0625,0.043840000000000004,batch2
279,9,BA.1,0.0027377191414393,Aviti,aviti_31519,0.0625,0.043840000000000004,batch2
280,9,B.1.617.2,0.973774120474224,Illumina,illumina_31581,0.0625,0.043840000000000004,batch3
281,9,BA.1,1.11560881443847e-24,Illumina,illumina_31581,0.0625,0.043840000000000004,batch3
282,9,B.1.617.2,0.8617199816697122,Flongle,flongle_31585,0.0625,0.043840000000000004,batch3
283,9,BA.1,0.0069025436491994,Flongle,flongle_31585,0.0625,0.043840000000000004,batch3
284,9,B.1.617.2,0.9367523878428292,MinION,minION_31582,0.0625,0.043840000000000004,batch3
285,9,BA.1,0.0029330599636665,MinION,minION_31582,0.0625,0.043840000000000004,batch3
286,9,B.1.617.2,0.9759385697870728,Aviti,aviti_31581,0.0625,0.043840000000000004,batch3
287,9,BA.1,1.4102180547366037e-21,Aviti,aviti_31581,0.0625,0.043840000000000004,batch3
